Country,GDP
Luxembourg,116518
Singapore,98412
Ireland,93200
Switzerland,69992
United Arab Emirates,64777
Norway,64613
United States,62002
Hong Kong S.A.R. of China,57838
Denmark,57082
Netherlands,55825
Iceland,54469
Austria,53806
Germany,52684
Sweden,52177
Belgium,50326
Kuwait,49854
Australia,49306
Taiwan Province of China,48896
Finland,48187
Canada,47499
Saudi Arabia,45320
United Kingdom,45022
France,44464
Bahrain,43401
New Zealand,43168
South Korea,43054
Malta,41548
Japan,41115
Italy,41082
Israel,40147
Cyprus,38953
Czechia,38947
Slovenia,38368
Spain,38204
Lithuania,37766
Estonia,36686
Portugal,33416
Poland,33195
Hungary,32316
Slovakia,31311
Latvia,30890
Romania,29818
Panama,29488
Turkey,28835
Croatia,28718
Greece,28535
Malaysia,27462
Russia,27116
Kazakhstan,25885
Chile,24717
Bulgaria,22968
Uruguay,22313
Argentina,20938
Mauritius,20907
Costa Rica,20513
Montenegro,19900
Belarus,19279
Mexico,18729
Serbia,18637
Dominican Republic,18015
Thailand,17890
China,16616
North Macedonia,16441
Botswana,16348
Turkmenistan,15538
Libya,15174
Bosnia and Herzegovina,14860
Georgia,14819
Brazil,14600
Gabon,14491
Azerbaijan,14442
Colombia,14194
Albania,13682
Armenia,13516
South Africa,13176
Moldova,12901
Sri Lanka,12834
Ukraine,12685
Iran,12630
Paraguay,12590
Peru,12208
Mongolia,12056
Lebanon,12025
Egypt,11894
Indonesia,11693
Algeria,11085
Kosovo,11065
Ecuador,10749
Tunisia,10694
Jordan,9940
Jamaica,9203
Namibia,9116
Iraq,9025
Guatemala,8653
Eswatini,8653
Philippines,8511
El Salvador,8445
Bolivia,8235
Vietnam,8155
Laos,7855
Uzbekistan,7437
Morocco,7211
India,6434
Palestinian Territories,6102
Ghana,5515
Honduras,5511
Nicaragua,5412
Mauritania,5344
Ivory Coast,5254
Nigeria,5045
Kyrgyzstan,4895
Bangladesh,4783
Pakistan,4632
Myanmar,4502
Kenya,4416
Cambodia,4266
Nepal,3875
Cameroon,3702
Tajikistan,3685
Congo-Brazzaville,3524
Zimbabwe,3488
Senegal,3356
Benin,3346
Zambia,3332
Comoros,3059
Tanzania,2655
Guinea,2653
Lesotho,2584
Mali,2267
Ethiopia,2245
Rwanda,2228
Gambia,2225
Burkina Faso,2190
Uganda,2178
Togo,2142
Afghanistan,2065
Yemen,1716
Sierra Leone,1689
Madagascar,1619
Chad,1580
Malawi,1520
Liberia,1470
Mozambique,1253
Niger,1224
Venezuela,251
