Country,Life Expectancy
Japan,74.225
Singapore,73.698
South Korea,73.373
Switzerland,72.698
Cyprus,72.598
Israel,72.545
Spain,72.224
France,72.199
Iceland,72.025
Sweden,72.024
Italy,71.974
Luxembourg,71.6
Malta,71.55
Netherlands,71.474
Norway,71.45
Canada,71.35
Ireland,71.199
Denmark,71.124
Portugal,71.124
Germany,71.099
Finland,71.075
Austria,71.024
Greece,71.022
Australia,70.974
Slovenia,70.874
Belgium,70.674
New Zealand,70.274
United Kingdom,70.199
Chile,70.147
Kuwait,70.1
Costa Rica,70
Peru,69.676
Estonia,69.421
Colombia,69.176
Albania,69.124
Czechia,68.988
Poland,68.871
Panama,68.796
Croatia,68.77
Ecuador,68.75
Slovakia,68.721
China,68.624
Turkey,68.53
Thailand,68.356
Jordan,67.6
Uruguay,67.5
Armenia,67.363
Hungary,67.346
Bosnia and Herzegovina,67.248
Argentina,67.149
Sri Lanka,67.098
Lithuania,67.055
Montenegro,67.048
Serbia,67.022
Tunisia,66.95
Romania,66.921
Jamaica,66.6
Algeria,66.496
Iran,66.448
Bulgaria,66.398
Kyrgyzstan,66.315
Latvia,66.298
North Macedonia,66.296
United Arab Emirates,66.136
Lebanon,66.074
Belarus,66
United States,65.976
Bahrain,65.863
Paraguay,65.849
Mexico,65.8
Malaysia,65.688
Nicaragua,65.573
Brazil,65.506
Kazakhstan,65.391
Vietnam,65.375
El Salvador,65.238
Libya,65.2
Uzbekistan,64.992
Moldova,64.891
Georgia,64.822
Russia,64.523
Ukraine,64.422
Bangladesh,64.331
Venezuela,64.229
Saudi Arabia,64.198
Dominican Republic,64.194
Mauritius,63.875
Morocco,63.8
Azerbaijan,63.6
Bolivia,63.45
Honduras,63.426
Iraq,63.415
Egypt,63.184
Indonesia,62.893
Guatemala,62.3
Tajikistan,62.146
Turkmenistan,62.1
Philippines,62.018
Cambodia,61.701
Nepal,61.507
Myanmar,61.217
Laos,60.793
India,60.542
Mongolia,60.398
Rwanda,60.2
Ethiopia,60.026
Mauritania,59.8
Senegal,59.702
Tanzania,58.95
Comoros,58.9
Uganda,58.678
Ghana,58.375
Kenya,58.102
Gabon,57.918
Malawi,57.658
Yemen,57.5
Madagascar,57.3
Pakistan,57.167
Gambia,57
South Africa,56.724
Togo,56.67
Congo-Brazzaville,56.515
Namibia,56.475
Benin,55.8
Niger,55.5
Ivory Coast,55.376
Burkina Faso,55.283
Cameroon,55.177
Mali,54.983
Liberia,54.9
Zambia,54.824
Nigeria,54.596
Afghanistan,54.206
Botswana,53.9
Guinea,53.732
Sierra Leone,53.659
Zimbabwe,53.563
Chad,52
Eswatini,51.025
Mozambique,50.824
Lesotho,44.2
